participant_label,treatment,stratum,peer_id
FIRM_00001,1,handwerk_klein,
FIRM_00002,2,handwerk_klein,
FIRM_00003,3,handwerk_klein,1
FIRM_00004,1,handwerk_klein,
FIRM_00005,2,handwerk_klein,
FIRM_00006,3,handwerk_klein,1
FIRM_00007,1,industrie_mittel,
FIRM_00008,2,industrie_mittel,
FIRM_00009,3,industrie_mittel,3
FIRM_00010,1,industrie_mittel,
FIRM_00011,2,industrie_mittel,
FIRM_00012,3,industrie_mittel,3
FIRM_00013,1,handel_gross,
FIRM_00014,2,handel_gross,
FIRM_00015,3,handel_gross,5
DEMO_C,1,demo,
DEMO_T1,2,demo,
DEMO_T2,3,demo,1
DEMO_T2_1,3,demo,1
DEMO_T2_2,3,demo,2
DEMO_T2_3,3,demo,3
DEMO_T2_4,3,demo,4
DEMO_T2_5,3,demo,5
DEMO_T2_6,3,demo,6
Guido_DEMO_C,1,coauthor,
Guido_DEMO_T1,2,coauthor,
Guido_DEMO_T2_1,3,coauthor,1
Guido_DEMO_T2_2,3,coauthor,2
Guido_DEMO_T2_3,3,coauthor,3
Guido_DEMO_T2_4,3,coauthor,4
Guido_DEMO_T2_5,3,coauthor,5
Guido_DEMO_T2_6,3,coauthor,6
Martin_DEMO_C,1,coauthor,
Martin_DEMO_T1,2,coauthor,
Martin_DEMO_T2_1,3,coauthor,1
Martin_DEMO_T2_2,3,coauthor,2
Martin_DEMO_T2_3,3,coauthor,3
Martin_DEMO_T2_4,3,coauthor,4
Martin_DEMO_T2_5,3,coauthor,5
Martin_DEMO_T2_6,3,coauthor,6
Elisa_DEMO_C,1,coauthor,
Elisa_DEMO_T1,2,coauthor,
Elisa_DEMO_T2_1,3,coauthor,1
Elisa_DEMO_T2_2,3,coauthor,2
Elisa_DEMO_T2_3,3,coauthor,3
Elisa_DEMO_T2_4,3,coauthor,4
Elisa_DEMO_T2_5,3,coauthor,5
Elisa_DEMO_T2_6,3,coauthor,6
Luca_DEMO_C,1,coauthor,
Luca_DEMO_T1,2,coauthor,
Luca_DEMO_T2_1,3,coauthor,1
Luca_DEMO_T2_2,3,coauthor,2
Luca_DEMO_T2_3,3,coauthor,3
Luca_DEMO_T2_4,3,coauthor,4
Luca_DEMO_T2_5,3,coauthor,5
Luca_DEMO_T2_6,3,coauthor,6
Klimareferat_DEMO_C,1,partner,
Klimareferat_DEMO_T1,2,partner,
Klimareferat_DEMO_T2_1,3,partner,1
Klimareferat_DEMO_T2_2,3,partner,2
Klimareferat_DEMO_T2_3,3,partner,3
Klimareferat_DEMO_T2_4,3,partner,4
Klimareferat_DEMO_T2_5,3,partner,5
Klimareferat_DEMO_T2_6,3,partner,6
